country;incomeperperson;alcconsumption;armedforcesrate;breastcancerper100th;co2emissions;femaleemployrate;hivrate;internet userate;lifeexpectancy;oilperperson;polityscore;relectricperperson;suicideper100th;employrate;urbanrate;
Philippines;1.383.401.869;6.08;0.3880673;46.6;2008116000.0;4.679.999.924;0.06;2.499.994.585;68.749;0.140466308;8.0;1.796.151.806;1.922.485.113;61.0;64.92;
Sri Lanka;1.295.742.686;0.81;2.569.643;23.6;253854333.3;3.920.000.076;0.06;1.199.997.066;74.941;;6.0;1.610.934.685;2.810.404.587;5.509.999.847;15.1;
Ireland;2.759.509.135;14.92;0.4500244;74.9;1633778667.0;51.0;0.2;6.977.039.441;80.557;1.700.261.751;10.0;2.051.802.338;1.036.507;5.990.000.153;61.34;
Tajikistan;2.791.804.526;3.39;0.6048733;13.2;104170000.0;5.009.999.847;0.2;1.154.939.051;67.529;;-3.0;4.057.753.854;2.648.980.856;5.459.999.847;26.46;
Czech Rep.;7.381.312.751;16.47;0.5157058;58.4;1776016000.0;4.759.999.847;0.06;6.863.813.347;77.685;0.876778335;8.0;1.438.780.412;1.236.798;56.0;73.5;
Bhutan;1.324.194.906;0.54;;21.8;6.024.333.333;3.990.000.153;0.2;1.359.887.603;67.185;;3.0;;1.554.260.254;5.840.000.153;34.48;
United Arab Emirates;2.108.739.412;0.52;18.124.763;24.1;2315698000.0;3.729.999.924;;7.799.678.115;76.546;4.299.964.455;-8.0;1.115.475.503;1.392.950.654;7.519.999.695;77.88;
Qatar;3.393.183.208;1.29;13.342.359;33.3;811965000.0;3.959.999.847;0.06;8.159.039.727;78.371;4.207.430.892;-10.0;4.759.453.844;2.515.720.844;76.0;95.64;
Tunisia;3.164.927.693;1.05;1.266.624;19.6;525891666.7;2.139.999.962;0.06;3.656.255.296;74.515;;-4.0;3.258.395.608;3.146.814.108;4.159.999.847;66.5;
Guinea-Bissau;1.613.171.371;3.9;0.9301079;28.1;7.813.666.667;4.990.000.153;2.5;2.450.362.244;48.132;;6.0;;7.563.692.093;6.590.000.153;29.84;
Nigeria;5.445.994.767;12.72;0.3331953;31.2;2386820333.0;36.5;3.6;2.843.003.266;51.879;;4.0;740.642.409;7.631.049.633;5.090.000.153;48.36;
Timor-Leste;3.695.729.537;0.74;0.2342862;;8.506.666.667;5.470.000.076;;0.210066326;62.475;;7.0;;9.633.114.815;6.730.000.305;27.3;
Netherlands;2.655.184.424;9.75;0.5261262;86.7;9483023000.0;5.429.999.924;0.2;9.070.355.509;80.734;2.997.654.606;10.0;1.490.056.909;8.164.005;6.129.999.924;81.82;
Luxembourg;5.230.158.718;12.84;0.7313362;82.5;592012666.7;4.590.000.153;0.3;9.007.952.663;79.963;;;1.566.106.139;1.240.591.812;53.5;82.44;
Greece;1.357.787.989;11.01;30.932.506;51.6;2712915333.0;3.779.999.924;0.1;4.457.007.444;79.915;1.628.614.887;10.0;1.690.718.434;2.816.705;4.959.999.847;61.0;
El Salvador;2.557.433.638;3.99;1.321.155;13.6;143586666.7;4.479.999.924;0.8;1.589.998.203;72.196;;8.0;2.560.991.513;7.304.886;5.820.000.076;60.7;
Chile;6.334.105.194;8.81;13.411.144;43.9;1839471333.0;35.5;0.4;45.0;79.12;0.858961552;10.0;5.325.151.772;1.017.187;51.0;88.44;
Canada;2.557.535.262;10.2;0.3429763;84.3;24979045667.0;5.890.000.153;0.2;8.133.839.269;81.012;3.007.355.851;10.0;4.772.370.648;1.010.099;63.5;80.4;
Laos;5.548.798.401;6.99;43.015.761;10.9;21332666.67;7.809.999.847;0.2;6.999.880.342;67.484;;-7.0;;2.621.919.823;7.819.999.695;30.88;
Latvia;5.011.219.456;13.45;13.164.321;44.3;125755666.7;5.070.000.076;0.7;7.151.472.354;73.339;;8.0;9.046.694.454;2.036.959;5.679.999.924;68.12;
Mexico;6.105.280.743;8.55;0.6123401;26.4;13304503667.0;3.959.999.847;0.3;3.105.001.287;76.954;0.770566504;8.0;4.316.253.788;4.288.574;5.790.000.153;77.2;
Mauritius;5.182.143.721;3.53;0.3495439;31.6;59473333.33;3.629.999.924;1.0;287.318.835;73.373;;10.0;;808.154;54.5;42.48;
Namibia;266.724.671;12.09;19.729.132;24.7;26209333.33;3.729.999.924;13.1;6.500.822.821;62.465;;6.0;0.0;8.021.969.795;42.0;36.84;
Comoros;3.363.687.495;0.28;;19.5;2.368.666.667;5.929.999.924;0.1;5.098.265.306;61.061;;9.0;;4.751.083.851;68.0;28.08;
United States;3.749.117.952;9.7;0.9723782;101.1;334000000000.0;56.0;0.6;74.247.572;78.531;2.738.543.683;10.0;4.542.848.695;9.927.033;6.229.999.924;81.7;
